iter	Logloss
0	0.6923934643
1	0.6916006793
2	0.6908499095
3	0.6899273999
4	0.6890509229
5	0.6884864476
6	0.688077067
7	0.6875388557
8	0.6868666381
9	0.6863089958
10	0.685656888
11	0.6852058091
12	0.6846688641
13	0.6841032324
14	0.6837942019
15	0.6834335793
16	0.6830365884
17	0.6826451932
18	0.6819609295
19	0.6814376492
20	0.6808620428
21	0.6803860712
22	0.6801086824
23	0.6797318751
24	0.6792037201
25	0.6788077276
26	0.6783817643
27	0.6781055673
28	0.6776990839
29	0.6774319759
30	0.6771527066
31	0.6767762125
32	0.6764058344
33	0.6761422822
34	0.6758363675
35	0.6756528836
36	0.6752691171
37	0.6749336207
38	0.6746130746
39	0.6743389963
40	0.6739824352
41	0.6737299241
42	0.6733953239
43	0.6731847563
44	0.6728111657
45	0.672595371
46	0.6723041914
47	0.6720837349
48	0.6718813461
49	0.6716752507
50	0.6713421269
51	0.6710862755
52	0.6708071728
53	0.6705621781
54	0.6703406561
55	0.6700823167
56	0.6698828759
57	0.6697115719
58	0.6694650608
59	0.6692301847
60	0.6690572157
61	0.6688218176
62	0.6685750401
63	0.6683773607
64	0.6680910314
65	0.6676940824
66	0.6675454555
67	0.6672655374
68	0.6669926667
69	0.6667165872
70	0.6664321979
71	0.666181134
72	0.6659367204
73	0.665645727
74	0.6654116076
75	0.6651634536
76	0.6649487691
77	0.6647787871
78	0.6646081257
79	0.6643467407
80	0.6642272195
81	0.6639432154
82	0.6637686546
83	0.6635039238
84	0.663153219
85	0.6627713078
86	0.6625550561
87	0.6623120167
88	0.6620988839
89	0.6618287072
90	0.6616366219
91	0.6614108028
92	0.661187208
93	0.6610877037
94	0.6608415624
95	0.6605880392
96	0.6602896211
97	0.6601692702
98	0.6600912374
99	0.659927963
100	0.6597277539
101	0.6594674941
102	0.6592566313
103	0.6591167328
104	0.659002348
105	0.6588147787
106	0.6586272825
107	0.6583414221
108	0.6581099654
109	0.6577774841
110	0.6575988007
111	0.6571898046
112	0.6569866009
113	0.6567702502
114	0.6564861656
115	0.6563292894
116	0.6560288908
117	0.6558804224
118	0.6557667553
119	0.6555026522
120	0.6553268688
121	0.6551015072
122	0.6549078182
123	0.6547213987
124	0.6543958826
125	0.6541028023
126	0.6538989494
127	0.6537674734
128	0.6536289333
129	0.6534725104
130	0.6532286165
131	0.6529639677
132	0.6528232242
133	0.6526271465
134	0.6524620186
135	0.6522441344
136	0.6520670658
137	0.6516805082
138	0.6514946424
139	0.6512650799
140	0.6511032155
141	0.6509184839
142	0.6508466558
143	0.650602387
144	0.6504680081
145	0.6502522158
146	0.6500538415
147	0.6498239246
148	0.6496140588
149	0.649455965
