iter	Passed	Remaining
0	270	80764
1	294	43880
2	358	35513
3	376	27834
4	398	23499
5	413	20250
6	429	17977
7	450	16457
8	466	15097
9	490	14223
10	511	13437
11	535	12856
12	553	12227
13	570	11664
14	582	11062
15	598	10619
16	877	14609
17	948	14859
18	970	14358
19	994	13923
20	1008	13393
21	1019	12884
22	1030	12406
23	1043	12002
24	1056	11622
25	1067	11253
26	1079	10911
27	1094	10629
28	1115	10428
29	1124	10118
30	1137	9867
31	1150	9637
32	1163	9415
33	1178	9220
34	1193	9037
35	1203	8822
36	1214	8634
37	1225	8448
38	1236	8278
39	1249	8121
40	1258	7952
41	1267	7788
42	1280	7652
43	1289	7501
44	1298	7360
45	1309	7228
46	1319	7100
47	1332	6996
48	1341	6874
49	1353	6769
50	1365	6668
51	1377	6571
52	1389	6477
53	1406	6409
54	1431	6378
55	1452	6328
56	1462	6234
57	1474	6152
58	1486	6072
59	1499	5997
60	1508	5911
61	1520	5834
62	1532	5765
63	1545	5697
64	1566	5663
65	1600	5675
66	1618	5628
67	1648	5625
68	1682	5631
69	1704	5602
70	1728	5573
71	1749	5539
72	1761	5479
73	1779	5435
74	1796	5388
75	1811	5339
76	1829	5297
77	2027	5771
78	2301	6439
79	2313	6360
80	2347	6347
81	2372	6307
82	2391	6251
83	2411	6200
84	2428	6143
85	2439	6069
86	2451	6001
87	2461	5930
88	2474	5865
89	2488	5806
90	2500	5743
91	2515	5686
92	2529	5630
93	2538	5564
94	2549	5501
95	2560	5440
96	2570	5380
97	2581	5320
98	2592	5262
99	2604	5208
100	2614	5151
101	2627	5099
102	2639	5048
103	2649	4993
104	2659	4938
105	2671	4888
106	2678	4831
107	2685	4773
108	2692	4718
109	2703	4670
110	2714	4622
111	2722	4570
112	2736	4529
113	2747	4482
114	2755	4432
115	2766	4387
116	2775	4341
117	2787	4299
118	2796	4253
119	2806	4210
120	2817	4168
121	2827	4124
122	2837	4082
123	2848	4042
124	2858	4002
125	2869	3962
126	2878	3921
127	2887	3879
128	2897	3840
129	2906	3801
130	2920	3767
131	2932	3732
132	2946	3699
133	2964	3672
134	2981	3643
135	2996	3613
136	3013	3585
137	3025	3551
138	3039	3520
139	3052	3488
140	3064	3455
141	3074	3420
142	3090	3392
143	3102	3360
144	3116	3331
145	3130	3301
146	3144	3272
147	3155	3240
148	3168	3210
149	3191	3191
150	3202	3160
151	3216	3131
152	3229	3103
153	3239	3071
154	3251	3041
155	3268	3017
156	3290	2997
157	3303	2968
158	3320	2944
159	3334	2917
160	3350	2892
161	3364	2866
162	3376	2838
163	3399	2819
164	3438	2813
165	3463	2795
166	3479	2771
167	3495	2746
168	3508	2719
169	3530	2699
170	3548	2677
171	3562	2651
172	3582	2629
173	3603	2609
174	3641	2601
175	3663	2581
176	3822	2656
177	3878	2658
178	3905	2639
179	3980	2653
180	4004	2633
181	4047	2624
182	4230	2704
183	4243	2675
184	4260	2648
185	4272	2618
186	4285	2589
187	4297	2560
188	4307	2529
189	4324	2503
190	4333	2473
191	4343	2443
192	4355	2414
193	4366	2385
194	4374	2355
195	4459	2366
196	4529	2368
197	4566	2352
198	4590	2329
199	4609	2304
200	4637	2284
201	4656	2258
202	4668	2230
203	4683	2204
204	4696	2176
205	4706	2147
206	4719	2120
207	4737	2095
208	4756	2071
209	4769	2044
210	4778	2015
211	4787	1987
212	4797	1959
213	4808	1932
214	4823	1907
215	4842	1883
216	4857	1857
217	4866	1830
218	4875	1803
219	4884	1776
220	4891	1748
221	4901	1722
222	4909	1695
223	4915	1667
224	4923	1641
225	4929	1614
226	4939	1588
227	4946	1561
228	4952	1535
229	4958	1508
230	4965	1483
231	4972	1457
232	4978	1431
233	4985	1406
234	4991	1380
235	5000	1356
236	5005	1330
237	5013	1306
238	5020	1281
239	5027	1256
240	5034	1232
241	5040	1208
242	5048	1184
243	5054	1160
244	5062	1136
245	5070	1113
246	5078	1089
247	5085	1066
248	5092	1042
249	5099	1019
250	5105	996
251	5111	973
252	5119	951
253	5125	928
254	5131	905
255	5137	883
256	5145	860
257	5151	838
258	5159	816
259	5165	794
260	5171	772
261	5177	750
262	5183	729
263	5190	707
264	5197	686
265	5203	665
266	5209	643
267	5216	622
268	5223	601
269	5232	581
270	5241	560
271	5248	540
272	5255	519
273	5264	499
274	5270	479
275	5277	458
276	5286	438
277	5293	418
278	5300	398
279	5308	379
280	5315	359
281	5320	339
282	5326	319
283	5333	300
284	5354	281
285	5389	263
286	5405	244
287	5416	225
288	5423	206
289	5445	187
290	5460	168
291	5490	150
292	5511	131
293	5535	112
294	5548	94
295	5560	75
296	5568	56
297	5576	37
298	5583	18
299	5590	0
